agent_id,pyov_overlap
FG_044,"10,105"
FG_045,103
FG_046,104
FG_047,105
FG_048,10
FG_049,113
FG_050,11
FG_051,120
FG_052,12
FG_053,13
FG_054,14
FG_055,14
FG_056,16
FG_057,17
FG_058,18
FG_059,216
FG_060,219
FG_061,220
FG_062,221
FG_063,222
FG_064,228
FG_065,228
FG_066,229
FG_067,22
FG_068,22
FG_069,22
FG_071,"23,68,223"
FG_072,"23,68"
FG_073,"23,68"
FG_074,"23,68"
FG_075,"23,68"
FG_076,230
FG_077,23
FG_078,23
FG_079,23
FG_080,23
FG_081,23
FG_082,23
FG_083,23
FG_084,249
FG_085,250
FG_086,250
FG_087,251
FG_088,252
FG_089,252
FG_090,255
FG_091,255
FG_092,255
FG_093,264
FG_094,265
FG_095,266
FG_096,267
FG_097,268
FG_098,269
FG_099,270
FG_100,273
FG_101,273
FG_102,274
FG_103,275
FG_104,27
FG_105,28
FG_106,29
FG_107,29
FG_108,30
FG_109,"31,273,277"
FG_110,"32,35,276"
FG_111,"33,51"
FG_112,"33,51"
FG_113,"33,51"
FG_114,"33,87"
FG_115,"33,87"
FG_116,"33,87"
FG_117,"33,87"
FG_118,33
FG_119,33
FG_120,34
FG_121,"35,115"
FG_122,"35,115,276"
FG_123,"35,115"
FG_124,"35,116"
FG_125,"35,117,218"
FG_126,"35,117"
FG_127,"35,276"
FG_128,35
FG_129,35
FG_130,36
FG_132,37
FG_134,38
FG_135,39
FG_136,"40,114"
FG_137,"41,119"
FG_138,41
FG_139,"41,275"
FG_140,"41,278"
FG_141,"41,87,118"
FG_142,"41,87"
FG_143,"41,87"
FG_144,41
FG_145,42
FG_146,42
FG_147,"51,216"
FG_148,52
FG_149,53
FG_150,54
FG_151,55
FG_152,56
FG_153,57
FG_154,58
FG_155,59
FG_156,60
FG_157,61
FG_158,62
FG_159,63
FG_160,64
FG_161,65
FG_162,66
FG_163,"68,264"
FG_164,69
FG_165,6
FG_166,70
FG_168,85
FG_169,85
FG_170,85
FG_171,85
FG_172,"88,273,277"
FG_173,89
FG_174,8
FG_175,97
FG_176,98
FG_177,98
