node_id,consensus_module
FG_165,1
FG_167,1
FG_174,2
FG_044,3
FG_048,1
FG_050,1
FG_052,3
FG_053,3
FG_054,2
FG_055,1
FG_056,1
FG_057,1
FG_058,3
FG_067,1
FG_068,1
FG_069,3
FG_070,1
FG_071,3
FG_072,4
FG_073,2
FG_074,2
FG_075,2
FG_077,2
FG_078,3
FG_079,4
FG_080,1
FG_081,2
FG_082,3
FG_083,2
FG_104,2
FG_105,1
FG_106,2
FG_107,4
FG_108,3
FG_109,2
FG_110,1
FG_111,3
FG_112,4
FG_113,1
FG_114,1
FG_115,1
FG_116,2
FG_117,1
FG_118,1
FG_119,1
FG_120,2
FG_121,3
FG_122,3
FG_123,4
FG_124,2
FG_125,4
FG_126,2
FG_127,2
FG_128,1
FG_129,3
FG_130,1
FG_131,3
FG_132,2
FG_133,4
FG_134,2
FG_135,2
FG_136,1
FG_137,2
FG_138,2
FG_139,4
FG_140,3
FG_141,2
FG_142,3
FG_143,4
FG_144,3
FG_145,4
FG_146,2
FG_147,3
FG_148,3
FG_149,3
FG_150,3
FG_151,1
FG_152,4
FG_153,2
FG_154,2
FG_155,2
FG_156,2
FG_157,4
FG_158,2
FG_159,1
FG_160,3
FG_161,4
FG_162,3
FG_163,1
FG_164,4
FG_166,1
FG_168,1
FG_169,4
FG_170,3
FG_171,3
FG_172,3
FG_173,2
FG_175,4
FG_176,2
FG_177,3
FG_045,3
FG_046,3
FG_047,1
FG_049,2
FG_051,1
FG_059,3
FG_060,4
FG_061,4
FG_062,4
FG_063,1
FG_064,1
FG_065,4
FG_066,1
FG_076,3
FG_084,2
FG_085,1
FG_086,2
FG_087,3
FG_088,2
FG_089,2
FG_090,3
FG_091,2
FG_092,1
FG_093,3
FG_094,3
FG_095,2
FG_096,2
FG_097,4
FG_098,2
FG_099,1
FG_100,2
FG_101,1
FG_102,1
FG_103,2
FG_001,1
FG_002,1
FG_003,3
FG_004,2
FG_005,3
FG_006,3
FG_007,3
FG_008,4
FG_009,1
FG_010,4
FG_011,2
FG_012,4
FG_013,1
FG_014,2
FG_015,1
FG_016,4
FG_017,3
FG_018,3
FG_019,1
FG_020,2
FG_021,2
FG_022,3
FG_023,1
FG_024,3
FG_025,1
FG_026,1
FG_027,4
FG_028,4
FG_029,4
FG_030,2
FG_031,3
FG_032,2
FG_033,4
FG_034,3
FG_035,3
FG_036,4
FG_037,1
FG_038,3
FG_039,3
FG_040,2
FG_041,2
FG_042,1
FG_043,3
PYO_01,2
PYO_02,4
PYO_03,2
PYO_04,2
PYO_05,4
PYO_06,1
PYO_07,1
PYO_08,2
PYO_09,1
PYO_10,4
PYO_11,4
PYO_12,1
PYO_13,2
PYO_14,3
PYO_15,3
PYO_16,4
PYO_17,4
PYO_18,1
PYO_19,4
PYO_20,2
PYO_21,3
PYO_22,1
PYO_23,1
PYO_24,2
PYO_25,1
PYO_26,4
PYO_27,2
PYO_28,3
PYO_29,3
PYO_30,1
PYO_31,1
PYO_32,4
PYO_33,1
PYO_34,3
PYO_35,3
PYO_36,2
PYO_37,1
PYO_38,2
PYO_39,2
PYO_40,3
PYO_41,1
PYO_42,3
PYO_43,2
PYO_44,4
PYO_45,1
PYO_46,3
PYO_47,2
PYO_48,3
PYO_49,4
PYO_50,2
PYO_51,4
PYO_52,2
PYO_53,2
PYO_54,2
PYO_55,3
PYO_56,4
PYO_57,4
PYO_58,3
PYO_59,3
PYO_60,3
PYO_61,1
PYO_62,2
PYO_63,3
PYO_64,4
PYO_65,3
PYO_66,2
PYO_67,3
PYO_68,1
PYO_69,2
PYO_70,3
PYO_71,3
PYO_72,4
PYO_73,3
PYO_74,4
PYO_75,1
PYO_76,1
PYO_77,2
PYO_78,1
PYO_79,2
PYO_80,2
PYO_81,2
PYO_82,3
PYO_83,3
PYO_84,2
PYO_85,3
PYO_86,1
PYO_87,4
PYO_88,2
PYO_89,1
PYO_90,3
PYO_91,4
PYO_92,1
PYO_93,2
