replicate,nodf
1,2.864530531900513
2,2.2635793074103168
3,2.570373749662071
4,2.5237609269338614
5,2.4479888377651955
6,2.6314788239555185
7,2.738035040067807
8,2.4336967345191503
9,2.7389209964787407
10,2.620920229405631
11,2.4174680070388685
12,2.7471490110452366
13,2.5175393529572276
14,2.647136386900819
15,2.431731947893908
16,2.679235311334897
17,2.5739989750832604
18,2.680228268955695
19,2.4445379048839753
20,2.7191631992602865
21,2.456775546424632
22,2.73090586982006
23,2.6112779062814497
24,2.6763066996871743
25,2.1780534390325337
26,2.7421736249861253
27,2.6370111642713576
28,2.6834300097882315
29,2.377154296314732
30,2.6384725118757966
31,2.4626180352502836
32,2.7004155057123116
33,2.6671031203178948
34,2.3687429449014314
35,2.4997396757780144
36,2.4125633318787534
37,2.758555766246956
38,2.5391735944841427
39,2.6501105406170575
40,2.6719103499312826
41,2.4007310779816513
42,2.6552516907429333
43,2.7485257839956745
44,2.5181637514768584
45,2.6466292038287706
46,2.5678379533078437
47,2.549611414859642
48,2.590203201021509
49,2.778589229619496
50,2.550105173461467
51,2.3632437277069265
52,2.7149219647996627
53,2.6502955069903065
54,2.941492562505045
55,2.6699509592997015
56,2.631056728750892
57,2.3914098197981946
58,2.4402065440914105
59,2.6759872822746695
60,2.54805615351731
61,2.6922813854176786
62,2.628228551152821
63,2.5861842842341964
64,2.398694977260134
65,2.504756866278585
66,2.642052788721644
67,2.4421739568635354
68,2.573531503387366
69,2.4152345416957015
70,2.5885447167000564
71,2.531167121482153
72,2.3553753950928895
73,2.600476859027471
74,2.2933010037023447
75,2.592568661992913
76,2.7624997628189867
77,2.643955505657633
78,2.499361977338448
79,2.5750105416596005
80,2.4580833817819934
81,2.967208756099183
82,2.3638447825204487
83,2.6580697845010666
84,2.5172876902699066
85,2.3375340641897004
86,2.626002684595299
87,2.448626013575034
88,2.7874705256437107
89,2.5879588765820274
90,2.5553771446186886
91,2.517552815408271
92,2.6869076045563705
93,2.6001707381140005
94,2.5527863358794125
95,2.5642167814300256
96,2.5163868644163765
97,2.429045893719807
98,2.5597518051719854
99,2.4917793726117115
100,2.754068423485899
