"node_id","node_type","module_id"
"FG_044","FG",12
"FG_045","FG",22
"FG_046","FG",16
"FG_047","FG",33
"FG_048","FG",32
"FG_049","FG",35
"FG_050","FG",24
"FG_051","FG",36
"FG_052","FG",13
"FG_053","FG",29
"FG_054","FG",12
"FG_055","FG",24
"FG_056","FG",34
"FG_057","FG",18
"FG_058","FG",31
"FG_059","FG",7
"FG_060","FG",34
"FG_061","FG",16
"FG_062","FG",34
"FG_063","FG",28
"FG_064","FG",18
"FG_065","FG",18
"FG_066","FG",2
"FG_067","FG",19
"FG_068","FG",34
"FG_069","FG",34
"FG_070","FG",34
"FG_071","FG",10
"FG_072","FG",12
"FG_073","FG",21
"FG_074","FG",34
"FG_075","FG",22
"FG_076","FG",22
"FG_077","FG",33
"FG_078","FG",10
"FG_079","FG",5
"FG_080","FG",6
"FG_081","FG",25
"FG_082","FG",17
"FG_083","FG",29
"FG_084","FG",29
"FG_085","FG",18
"FG_086","FG",18
"FG_087","FG",25
"FG_088","FG",29
"FG_089","FG",29
"FG_090","FG",24
"FG_091","FG",15
"FG_092","FG",27
"FG_093","FG",26
"FG_094","FG",6
"FG_095","FG",11
"FG_096","FG",36
"FG_097","FG",22
"FG_098","FG",18
"FG_099","FG",15
"FG_100","FG",24
"FG_101","FG",29
"FG_102","FG",34
"FG_103","FG",21
"FG_104","FG",4
"FG_105","FG",34
"FG_106","FG",26
"FG_107","FG",21
"FG_108","FG",35
"FG_109","FG",11
"FG_110","FG",32
"FG_111","FG",23
"FG_112","FG",35
"FG_113","FG",35
"FG_114","FG",25
"FG_115","FG",25
"FG_116","FG",25
"FG_117","FG",25
"FG_118","FG",25
"FG_119","FG",25
"FG_120","FG",20
"FG_121","FG",32
"FG_122","FG",27
"FG_123","FG",27
"FG_124","FG",4
"FG_125","FG",3
"FG_126","FG",33
"FG_127","FG",2
"FG_128","FG",2
"FG_129","FG",2
"FG_130","FG",25
"FG_131","FG",36
"FG_132","FG",21
"FG_133","FG",29
"FG_134","FG",9
"FG_135","FG",7
"FG_136","FG",3
"FG_137","FG",12
"FG_138","FG",21
"FG_139","FG",25
"FG_140","FG",36
"FG_141","FG",36
"FG_142","FG",31
"FG_143","FG",19
"FG_144","FG",10
"FG_145","FG",15
"FG_146","FG",15
"FG_147","FG",17
"FG_148","FG",11
"FG_149","FG",31
"FG_150","FG",34
"FG_151","FG",2
"FG_152","FG",15
"FG_153","FG",34
"FG_154","FG",28
"FG_155","FG",23
"FG_156","FG",34
"FG_157","FG",24
"FG_158","FG",11
"FG_159","FG",8
"FG_160","FG",23
"FG_161","FG",14
"FG_162","FG",6
"FG_163","FG",22
"FG_164","FG",29
"FG_165","FG",26
"FG_166","FG",2
"FG_167","FG",15
"FG_168","FG",28
"FG_169","FG",27
"FG_170","FG",27
"FG_171","FG",22
"FG_172","FG",11
"FG_173","FG",34
"FG_174","FG",30
"FG_175","FG",12
"FG_176","FG",9
"FG_177","FG",29
"PYO_01","PYOV",32
"PYO_02","PYOV",18
"PYO_03","PYOV",24
"PYO_04","PYOV",2
"PYO_05","PYOV",15
"PYO_06","PYOV",27
"PYO_07","PYOV",32
"PYO_08","PYOV",33
"PYO_09","PYOV",21
"PYO_10","PYOV",31
"PYO_11","PYOV",11
"PYO_12","PYOV",32
"PYO_13","PYOV",20
"PYO_14","PYOV",3
"PYO_15","PYOV",12
"PYO_16","PYOV",6
"PYO_17","PYOV",12
"PYO_18","PYOV",18
"PYO_19","PYOV",9
"PYO_20","PYOV",26
"PYO_21","PYOV",12
"PYO_22","PYOV",16
"PYO_23","PYOV",21
"PYO_24","PYOV",19
"PYO_25","PYOV",29
"PYO_26","PYOV",34
"PYO_27","PYOV",26
"PYO_28","PYOV",26
"PYO_29","PYOV",25
"PYO_30","PYOV",24
"PYO_31","PYOV",35
"PYO_32","PYOV",36
"PYO_33","PYOV",21
"PYO_34","PYOV",29
"PYO_35","PYOV",15
"PYO_36","PYOV",3
"PYO_37","PYOV",34
"PYO_38","PYOV",8
"PYO_39","PYOV",29
"PYO_40","PYOV",22
"PYO_41","PYOV",25
"PYO_42","PYOV",10
"PYO_43","PYOV",22
"PYO_44","PYOV",16
"PYO_45","PYOV",36
"PYO_46","PYOV",36
"PYO_47","PYOV",10
"PYO_48","PYOV",23
"PYO_49","PYOV",11
"PYO_50","PYOV",31
"PYO_51","PYOV",25
"PYO_52","PYOV",25
"PYO_53","PYOV",35
"PYO_54","PYOV",29
"PYO_55","PYOV",17
"PYO_56","PYOV",28
"PYO_57","PYOV",19
"PYO_58","PYOV",7
"PYO_59","PYOV",28
"PYO_60","PYOV",14
"PYO_61","PYOV",23
"PYO_62","PYOV",15
"PYO_63","PYOV",26
"PYO_64","PYOV",27
"PYO_65","PYOV",26
"PYO_66","PYOV",6
"PYO_67","PYOV",34
"PYO_68","PYOV",11
"PYO_69","PYOV",25
"PYO_70","PYOV",26
"PYO_71","PYOV",29
"PYO_72","PYOV",7
"PYO_73","PYOV",24
"PYO_74","PYOV",17
"PYO_75","PYOV",23
"PYO_76","PYOV",9
"PYO_77","PYOV",12
"PYO_78","PYOV",33
"PYO_79","PYOV",2
"PYO_80","PYOV",5
"PYO_81","PYOV",22
"PYO_82","PYOV",10
"PYO_83","PYOV",18
"PYO_84","PYOV",29
"PYO_85","PYOV",4
"PYO_86","PYOV",24
"PYO_87","PYOV",21
"PYO_88","PYOV",13
"PYO_89","PYOV",2
"PYO_90","PYOV",32
"PYO_91","PYOV",34
"PYO_92","PYOV",30
"PYO_93","PYOV",36
